experiment,instrument,family,is_selected_family,threshold,n,accuracy,precision,recall,f1,avg_precision,brier,log_loss,roc_auc,tn,fp,fn,tp
+ signal_history,ng1s,random_forest,0,0.55,56.0,0.3392857142857143,0.32653061224489793,0.8,0.463768115942029,0.5229853006810312,0.3644225443723061,0.9486203242070486,0.5597222222222222,3.0,33.0,4.0,16.0
+ signal_history,ng1s,random_forest,0,0.6,56.0,0.44642857142857145,0.37209302325581395,0.8,0.5079365079365079,0.5229853006810312,0.3644225443723061,0.9486203242070486,0.5597222222222222,9.0,27.0,4.0,16.0
+ signal_history,ng1s,random_forest,0,0.65,56.0,0.44642857142857145,0.36585365853658536,0.75,0.4918032786885246,0.5229853006810312,0.3644225443723061,0.9486203242070486,0.5597222222222222,10.0,26.0,5.0,15.0
+ signal_history,ng1s,random_forest,0,0.7,56.0,0.5178571428571429,0.3870967741935484,0.6,0.47058823529411764,0.5229853006810312,0.3644225443723061,0.9486203242070486,0.5597222222222222,17.0,19.0,8.0,12.0
+ signal_history,ng1s,extra_trees,0,0.5,56.0,0.35714285714285715,0.3333333333333333,0.8,0.47058823529411764,0.5989431157508045,0.30965333933174305,0.8164677539216694,0.5777777777777778,4.0,32.0,4.0,16.0
+ signal_history,ng1s,extra_trees,0,0.55,56.0,0.4107142857142857,0.3488372093023256,0.75,0.47619047619047616,0.5989431157508045,0.30965333933174305,0.8164677539216694,0.5777777777777778,8.0,28.0,5.0,15.0
+ signal_history,ng1s,extra_trees,0,0.6,56.0,0.48214285714285715,0.3783783783783784,0.7,0.49122807017543857,0.5989431157508045,0.30965333933174305,0.8164677539216694,0.5777777777777778,13.0,23.0,6.0,14.0
+ signal_history,ng1s,extra_trees,0,0.65,56.0,0.5714285714285714,0.4230769230769231,0.55,0.4782608695652174,0.5989431157508045,0.30965333933174305,0.8164677539216694,0.5777777777777778,21.0,15.0,9.0,11.0
+ signal_history,ng1s,extra_trees,0,0.7,56.0,0.6785714285714286,0.5833333333333334,0.35,0.4375,0.5989431157508045,0.30965333933174305,0.8164677539216694,0.5777777777777778,31.0,5.0,13.0,7.0
+ signal_history,ng1s,hist_gradient_boosting,0,0.5,56.0,0.35714285714285715,0.3333333333333333,0.8,0.47058823529411764,0.4385852168374523,0.4649742301663253,1.3919338810016342,0.49861111111111117,4.0,32.0,4.0,16.0
+ signal_history,ng1s,hist_gradient_boosting,0,0.55,56.0,0.375,0.3404255319148936,0.8,0.47761194029850745,0.4385852168374523,0.4649742301663253,1.3919338810016342,0.49861111111111117,5.0,31.0,4.0,16.0
+ signal_history,ng1s,hist_gradient_boosting,0,0.6,56.0,0.375,0.3333333333333333,0.75,0.46153846153846156,0.4385852168374523,0.4649742301663253,1.3919338810016342,0.49861111111111117,6.0,30.0,5.0,15.0
+ signal_history,ng1s,hist_gradient_boosting,0,0.65,56.0,0.42857142857142855,0.35714285714285715,0.75,0.4838709677419355,0.4385852168374523,0.4649742301663253,1.3919338810016342,0.49861111111111117,9.0,27.0,5.0,15.0
+ signal_history,ng1s,hist_gradient_boosting,0,0.7,56.0,0.42857142857142855,0.35714285714285715,0.75,0.4838709677419355,0.4385852168374523,0.4649742301663253,1.3919338810016342,0.49861111111111117,9.0,27.0,5.0,15.0
+ signal_history,ng1s,adaboost,1,0.5,56.0,0.35714285714285715,0.34,0.85,0.4857142857142857,0.4708203941448622,0.3896703545705309,1.0371030296614383,0.5770833333333333,3.0,33.0,3.0,17.0
+ signal_history,ng1s,adaboost,1,0.55,56.0,0.375,0.3404255319148936,0.8,0.47761194029850745,0.4708203941448622,0.3896703545705309,1.0371030296614383,0.5770833333333333,5.0,31.0,4.0,16.0
+ signal_history,ng1s,adaboost,1,0.6,56.0,0.39285714285714285,0.3409090909090909,0.75,0.46875,0.4708203941448622,0.3896703545705309,1.0371030296614383,0.5770833333333333,7.0,29.0,5.0,15.0
+ signal_history,ng1s,adaboost,1,0.65,56.0,0.42857142857142855,0.35714285714285715,0.75,0.4838709677419355,0.4708203941448622,0.3896703545705309,1.0371030296614383,0.5770833333333333,9.0,27.0,5.0,15.0
+ signal_history,ng1s,adaboost,1,0.7,56.0,0.4642857142857143,0.375,0.75,0.5,0.4708203941448622,0.3896703545705309,1.0371030296614383,0.5770833333333333,11.0,25.0,5.0,15.0
+ signal_history,ng1s,mlp,0,0.5,56.0,0.4642857142857143,0.4,1.0,0.5714285714285714,0.5287675965071988,0.4091156893183916,1.2254948328164221,0.5861111111111111,6.0,30.0,0.0,20.0
+ signal_history,ng1s,mlp,0,0.55,56.0,0.4642857142857143,0.4,1.0,0.5714285714285714,0.5287675965071988,0.4091156893183916,1.2254948328164221,0.5861111111111111,6.0,30.0,0.0,20.0
+ signal_history,ng1s,mlp,0,0.6,56.0,0.48214285714285715,0.40816326530612246,1.0,0.5797101449275363,0.5287675965071988,0.4091156893183916,1.2254948328164221,0.5861111111111111,7.0,29.0,0.0,20.0
+ signal_history,ng1s,mlp,0,0.65,56.0,0.44642857142857145,0.3829787234042553,0.9,0.5373134328358209,0.5287675965071988,0.4091156893183916,1.2254948328164221,0.5861111111111111,7.0,29.0,2.0,18.0
+ signal_history,ng1s,mlp,0,0.7,56.0,0.4642857142857143,0.38095238095238093,0.8,0.5161290322580645,0.5287675965071988,0.4091156893183916,1.2254948328164221,0.5861111111111111,10.0,26.0,4.0,16.0
+ signal_history,gc1s,logistic,0,0.5,24.0,0.5833333333333334,0.5714285714285714,0.9230769230769231,0.7058823529411765,0.8598235098235099,0.22579429885134092,0.6427164406398954,0.8041958041958042,2.0,9.0,1.0,12.0
+ signal_history,gc1s,logistic,0,0.55,24.0,0.7083333333333334,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.8598235098235099,0.22579429885134092,0.6427164406398954,0.8041958041958042,5.0,6.0,1.0,12.0
+ signal_history,gc1s,logistic,0,0.6,24.0,0.6666666666666666,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.8598235098235099,0.22579429885134092,0.6427164406398954,0.8041958041958042,5.0,6.0,2.0,11.0
+ signal_history,gc1s,logistic,0,0.65,24.0,0.7083333333333334,0.6875,0.8461538461538461,0.7586206896551724,0.8598235098235099,0.22579429885134092,0.6427164406398954,0.8041958041958042,6.0,5.0,2.0,11.0
